TradeDate,Currency,Ticker,OptionType,TradedStockPrice,NumOptions,Strike,ExpiryDate
2013-01-24,USD,PUT,BA,75.32,600,75,2013-04-24
2013-01-25,USD,PUT,MSFT,27.879998999999998,910,28,2013-04-25
2013-01-25,USD,PUT,AMZN,283.98999,580,282,2014-01-20
2013-01-28,USD,CALL,MSFT,27.91,510,28,2013-04-28
2013-01-28,USD,PUT,MSFT,27.91,510,28,2013-07-27
2013-01-28,USD,CALL,AAPL,64.261429,390,64,2013-07-27
2013-01-28,USD,PUT,FB,32.470001,660,32,2013-07-27
2013-01-29,USD,CALL,FB,30.790001,710,29,2013-07-28
2013-01-29,USD,PUT,CHK,17.947020000000002,290,17,2013-07-28
2013-01-29,USD,CALL,XRX,21.449276,820,21,2014-01-24
2013-01-29,USD,PUT,BA,73.650002,610,75,2013-04-29
2013-01-29,USD,PUT,XRX,21.449276,150,21,2013-04-29
2013-01-29,USD,CALL,CHK,17.947020000000002,250,18,2013-04-29
2013-01-29,USD,CALL,BA,73.650002,290,74,2014-01-24
2013-01-30,USD,PUT,XRX,21.501976000000003,320,21,2014-01-25
2013-01-31,USD,PUT,AAPL,65.07,920,66,2013-05-01
2013-01-31,USD,PUT,FB,30.98,300,31,2014-01-26
2013-01-31,USD,PUT,FB,30.98,250,31,2014-01-26
2013-02-01,USD,CALL,BA,74.870003,270,74,2014-01-27
2013-02-01,USD,CALL,AAPL,64.802856,850,61,2013-07-31
2013-02-01,USD,CALL,FB,29.73,660,30,2013-05-02
2013-02-01,USD,PUT,MSFT,27.93,280,27,2013-05-02
2013-02-04,USD,PUT,CHK,19.025543,400,18,2014-01-30
2013-02-04,USD,CALL,AAPL,63.188572,0,60,2013-08-03
2013-02-04,USD,CALL,MSFT,27.440001000000002,310,27,2014-01-30
2013-02-04,USD,PUT,FB,28.110001,680,28,2013-05-05
2013-02-05,USD,CALL,AMZN,266.890015,460,275,2014-01-31
2013-02-05,USD,PUT,XRX,21.13307,830,21,2013-08-04
2013-02-05,USD,CALL,MSFT,27.5,990,28,2014-01-31
2013-02-05,USD,PUT,AMZN,266.890015,330,276,2013-08-04
2013-02-05,USD,PUT,AAPL,65.405716,650,62,2013-08-04
2013-02-05,USD,CALL,FB,28.639999,720,29,2013-08-04
2013-02-06,USD,PUT,MSFT,27.34,530,27,2013-05-07
2013-02-06,USD,PUT,MSFT,27.34,70,27,2013-05-07
2013-02-06,USD,PUT,BA,76.290001,790,73,2014-02-01
2013-02-06,USD,CALL,CHK,19.403973,10,20,2013-08-05
2013-02-08,USD,PUT,CHK,19.139072,740,18,2014-02-03
2013-02-08,USD,CALL,BA,76.559998,820,72,2014-02-03
2013-02-08,USD,CALL,AAPL,67.854286,320,65,2014-02-03
2013-02-08,USD,PUT,MSFT,27.549999,230,28,2014-02-03
2013-02-11,USD,CALL,CHK,18.968781,530,18,2014-02-06
2013-02-11,USD,CALL,AAPL,68.561432,960,65,2013-08-10
2013-02-11,USD,PUT,FB,28.26,290,27,2013-08-10
2013-02-11,USD,PUT,FB,28.26,690,26,2014-02-06
2013-02-12,USD,CALL,AAPL,66.842857,650,69,2014-02-07
2013-02-12,USD,PUT,CHK,18.930937,570,19,2013-08-11
2013-02-12,USD,CALL,CHK,18.930937,370,18,2014-02-07
2013-02-12,USD,PUT,FB,27.370001000000002,330,27,2013-05-13
2013-02-13,USD,PUT,AAPL,66.715714,320,66,2014-02-08
2013-02-13,USD,PUT,AMZN,269.47000099999997,120,282,2014-02-08
2013-02-14,USD,PUT,CHK,19.299906,700,19,2013-05-15
2013-02-14,USD,CALL,MSFT,28.040001,630,28,2014-02-09
2013-02-14,USD,PUT,XRX,21.15942,150,21,2013-05-15
2013-02-14,USD,CALL,XRX,21.15942,620,21,2013-05-15
2013-02-14,USD,PUT,MSFT,28.040001,180,27,2013-05-15
2013-02-14,USD,CALL,AAPL,66.655716,170,65,2013-08-13
2013-02-14,USD,PUT,MSFT,28.040001,360,27,2014-02-09
2013-02-14,USD,PUT,XRX,21.15942,420,21,2013-05-15
2013-02-15,USD,PUT,BA,75.029999,940,78,2013-05-16
2013-02-15,USD,CALL,BA,75.029999,90,75,2014-02-10
2013-02-15,USD,PUT,AMZN,265.089996,840,255,2014-02-10
2013-02-15,USD,PUT,AAPL,65.737144,330,64,2013-05-16
2013-02-19,USD,CALL,MSFT,28.049999,930,27,2013-05-20
2013-02-19,USD,PUT,XRX,21.080368,510,22,2014-02-14
2013-02-19,USD,CALL,BA,74.650002,570,78,2014-02-14
2013-02-19,USD,PUT,AAPL,65.71285999999999,590,68,2013-08-18
2013-02-19,USD,PUT,BA,74.650002,250,72,2014-02-14
2013-02-20,USD,CALL,BA,74.779999,330,74,2013-05-21
2013-02-20,USD,PUT,CHK,19.148533,680,19,2013-08-19
2013-02-20,USD,PUT,BA,74.779999,230,71,2014-02-15
2013-02-20,USD,CALL,FB,28.459999,910,27,2014-02-15
2013-02-20,USD,CALL,AAPL,64.121429,510,65,2013-08-19
2013-02-20,USD,PUT,AAPL,64.121429,960,62,2013-08-19
2013-02-20,USD,CALL,FB,28.459999,190,28,2013-08-19
2013-02-20,USD,PUT,FB,28.459999,70,27,2014-02-15
2013-02-20,USD,PUT,XRX,20.711462,140,19,2013-05-21
2013-02-21,USD,CALL,XRX,20.658762,270,21,2013-05-22
2013-02-22,USD,CALL,MSFT,27.76,190,27,2013-05-23
2013-02-22,USD,CALL,AMZN,265.420013,650,274,2013-05-23
2013-02-22,USD,CALL,FB,27.129998999999998,260,27,2014-02-17
2013-02-22,USD,CALL,CHK,19.394512,80,19,2013-08-21
2013-02-25,USD,PUT,AMZN,259.869995,840,272,2013-05-26
2013-02-25,USD,PUT,AMZN,259.869995,500,264,2013-08-24
2013-02-25,USD,PUT,MSFT,27.370001000000002,360,28,2013-08-24
2013-02-25,USD,CALL,MSFT,27.370001000000002,720,28,2014-02-20
2013-02-25,USD,CALL,FB,27.27,860,27,2013-08-24
2013-02-25,USD,PUT,AMZN,259.869995,300,263,2013-08-24
2013-02-26,USD,PUT,FB,27.389999,810,28,2013-08-25
2013-02-26,USD,CALL,XRX,21.13307,740,21,2013-05-27
2013-02-26,USD,PUT,CHK,18.684957999999998,490,18,2014-02-21
2013-02-26,USD,CALL,FB,27.389999,570,28,2013-05-27
2013-02-26,USD,CALL,AMZN,259.359985,120,265,2013-08-25
2013-02-26,USD,PUT,BA,75.650002,160,73,2013-05-27
2013-02-27,USD,PUT,XRX,21.554678,920,20,2013-05-28
2013-02-27,USD,CALL,BA,77.360001,60,79,2013-05-28
2013-02-27,USD,PUT,BA,77.360001,920,77,2013-05-28
2013-02-27,USD,PUT,BA,77.360001,660,80,2013-08-26
2013-02-28,USD,CALL,BA,76.900002,250,73,2013-05-29
2013-03-01,USD,CALL,BA,77.279999,540,76,2013-05-30
2013-03-04,USD,CALL,BA,77.089996,360,73,2013-08-31
2013-03-04,USD,CALL,AAPL,60.007141000000004,300,57,2013-08-31
2013-03-04,USD,CALL,AAPL,60.007141000000004,80,61,2014-02-27
2013-03-05,USD,CALL,BA,78.660004,170,79,2013-06-03
2013-03-05,USD,CALL,BA,78.660004,500,79,2013-06-03
2013-03-05,USD,CALL,MSFT,28.35,50,27,2013-06-03
2013-03-05,USD,CALL,FB,27.52,560,28,2014-02-28
2013-03-05,USD,CALL,AMZN,275.589996,50,276,2013-09-01
2013-03-05,USD,CALL,AAPL,61.591427,230,60,2014-02-28
2013-03-06,USD,CALL,AMZN,273.790009,500,274,2014-03-01
2013-03-06,USD,PUT,AAPL,60.80857099999999,140,61,2014-03-01
2013-03-06,USD,PUT,BA,79.08000200000001,930,75,2013-06-04
2013-03-06,USD,PUT,AMZN,273.790009,730,284,2013-09-02
2013-03-06,USD,CALL,BA,79.08000200000001,50,81,2014-03-01
2013-03-06,USD,CALL,CHK,18.675497,980,19,2013-06-04
2013-03-06,USD,CALL,BA,79.08000200000001,980,78,2014-03-01
2013-03-06,USD,PUT,AMZN,273.790009,990,273,2014-03-01
2013-03-07,USD,PUT,XRX,22.582345999999998,780,21,2013-09-03
2013-03-07,USD,PUT,BA,81.050003,170,81,2014-03-02
2013-03-08,USD,CALL,FB,27.959999,150,27,2013-06-06
2013-03-08,USD,CALL,AMZN,274.190002,150,277,2014-03-03
2013-03-08,USD,PUT,AMZN,274.190002,90,270,2014-03-03
2013-03-08,USD,CALL,XRX,22.951252,30,24,2014-03-03
2013-03-11,USD,PUT,AMZN,271.23999,700,259,2014-03-06
2013-03-11,USD,PUT,AMZN,271.23999,400,281,2014-03-06
2013-03-11,USD,PUT,BA,82.940002,110,79,2013-09-07
2013-03-12,USD,PUT,BA,84.160004,730,82,2014-03-07
2013-03-12,USD,PUT,FB,27.83,840,27,2014-03-07
2013-03-12,USD,PUT,AAPL,61.204285,780,62,2013-06-10
2013-03-12,USD,CALL,AAPL,61.204285,260,61,2014-03-07
2013-03-12,USD,CALL,AAPL,61.204285,530,60,2013-09-08
2013-03-12,USD,PUT,MSFT,27.91,690,29,2013-09-08
2013-03-12,USD,CALL,CHK,20.331125,550,20,2013-06-10
2013-03-13,USD,CALL,AMZN,275.100006,120,264,2014-03-08
2013-03-13,USD,CALL,XRX,22.635046,450,22,2013-06-11
2013-03-14,USD,PUT,FB,27.040001,600,26,2013-09-10
2013-03-14,USD,PUT,AAPL,61.785713,800,62,2013-06-12
2013-03-14,USD,CALL,FB,27.040001,360,28,2014-03-09
2013-03-15,USD,CALL,AAPL,63.380001,870,65,2013-06-13
2013-03-15,USD,PUT,AAPL,63.380001,560,63,2013-06-13
2013-03-15,USD,PUT,BA,86.43,740,87,2013-06-13
2013-03-15,USD,PUT,XRX,22.951252,910,22,2014-03-10
2013-03-15,USD,CALL,AMZN,261.820007,350,250,2014-03-10
2013-03-18,USD,CALL,FB,26.49,770,26,2013-09-14
2013-03-18,USD,PUT,XRX,22.8195,940,22,2013-06-16
2013-03-19,USD,CALL,MSFT,28.18,630,29,2013-09-15
2013-03-19,USD,PUT,CHK,19.905392000000003,570,19,2014-03-14
2013-03-19,USD,CALL,BA,85.510002,160,81,2013-06-17
2013-03-19,USD,CALL,AAPL,64.927139,300,62,2014-03-14
2013-03-20,USD,CALL,FB,25.860001,500,26,2014-03-15
2013-03-20,USD,PUT,AMZN,257.27999900000003,920,260,2013-06-18
2013-03-21,USD,CALL,CHK,19.545885000000002,950,18,2014-03-16
2013-03-21,USD,CALL,XRX,22.529644,870,22,2014-03-16
2013-03-21,USD,PUT,AAPL,64.675713,690,61,2014-03-16
2013-03-21,USD,PUT,AAPL,64.675713,100,66,2014-03-16
2013-03-21,USD,CALL,AAPL,64.675713,120,61,2014-03-16
2013-03-21,USD,CALL,XRX,22.529644,30,22,2014-03-16
2013-03-25,USD,CALL,BA,84.849998,920,86,2013-06-23
2013-03-25,USD,PUT,XRX,22.424242,530,22,2014-03-20
2013-03-25,USD,CALL,CHK,19.252602,120,20,2014-03-20
2013-03-26,USD,CALL,XRX,22.608696,590,22,2014-03-21
2013-03-26,USD,PUT,MSFT,28.16,420,27,2013-09-22
2013-03-26,USD,CALL,XRX,22.608696,780,22,2013-06-24
2013-03-26,USD,CALL,AAPL,65.877144,430,68,2013-09-22
2013-03-28,USD,CALL,BA,85.849998,790,87,2013-09-24
2013-03-28,USD,PUT,AAPL,63.237143999999994,300,60,2013-09-24
2013-03-28,USD,CALL,FB,25.58,290,25,2014-03-23
2013-03-28,USD,PUT,MSFT,28.610001,900,27,2014-03-23
2013-03-28,USD,PUT,CHK,19.309366,500,19,2014-03-23
2013-03-28,USD,PUT,AAPL,63.237143999999994,430,66,2014-03-23
2013-04-01,USD,CALL,AMZN,261.609985,860,269,2013-06-30
2013-04-03,USD,PUT,AAPL,61.712856,260,62,2013-09-30
2013-04-03,USD,CALL,AAPL,61.712856,180,61,2013-07-02
2013-04-03,USD,PUT,BA,84.360001,530,87,2014-03-29
2013-04-03,USD,PUT,FB,26.25,320,26,2013-07-02
2013-04-03,USD,PUT,CHK,18.145695,380,18,2014-03-29
2013-04-04,USD,CALL,MSFT,28.6,730,29,2013-10-01
2013-04-04,USD,CALL,AAPL,61.102856,620,62,2014-03-30
2013-04-04,USD,PUT,FB,27.07,450,26,2013-07-03
2013-04-05,USD,PUT,MSFT,28.700001,830,28,2014-03-31
2013-04-05,USD,CALL,AAPL,60.457142000000005,770,61,2014-03-31
2013-04-05,USD,CALL,XRX,22.740448,170,22,2014-03-31
2013-04-08,USD,PUT,MSFT,28.59,180,27,2013-10-05
2013-04-08,USD,CALL,BA,86.75,560,87,2014-04-03
2013-04-08,USD,PUT,AAPL,60.887142000000004,590,63,2014-04-03
2013-04-08,USD,PUT,MSFT,28.59,150,27,2013-10-05
2013-04-08,USD,PUT,FB,26.85,620,27,2013-07-07
2013-04-08,USD,PUT,MSFT,28.59,810,28,2013-10-05
2013-04-08,USD,PUT,CHK,18.684957999999998,170,18,2013-10-05
2013-04-10,USD,CALL,FB,27.57,200,26,2013-07-09
2013-04-10,USD,CALL,FB,27.57,300,26,2013-10-07
2013-04-10,USD,CALL,AAPL,62.241428000000006,520,62,2013-10-07
2013-04-10,USD,CALL,MSFT,30.280001000000002,410,28,2014-04-05
2013-04-10,USD,PUT,XRX,23.610014000000003,480,23,2013-07-09
2013-04-10,USD,PUT,MSFT,30.280001000000002,650,31,2014-04-05
2013-04-11,USD,PUT,BA,88.529999,830,91,2013-07-10
2013-04-11,USD,CALL,CHK,19.053926,190,19,2014-04-06
2013-04-11,USD,CALL,AMZN,269.850006,780,257,2013-10-08
2013-04-11,USD,PUT,AAPL,62.047142,290,64,2013-10-08
2013-04-12,USD,PUT,MSFT,28.790001,690,30,2013-10-09
2013-04-12,USD,PUT,XRX,23.873518,920,23,2013-10-09
2013-04-12,USD,PUT,BA,88.889999,520,89,2013-10-09
2013-04-12,USD,PUT,MSFT,28.790001,580,28,2014-04-07
2013-04-12,USD,PUT,XRX,23.873518,760,24,2013-07-11
2013-04-12,USD,PUT,MSFT,28.790001,210,28,2013-10-09
2013-04-12,USD,PUT,AAPL,61.400002,240,62,2014-04-07
2013-04-12,USD,CALL,CHK,18.618732,220,17,2013-07-11
2013-04-12,USD,PUT,XRX,23.873518,620,23,2013-07-11
2013-04-15,USD,CALL,BA,86.769997,420,82,2013-10-12
2013-04-15,USD,PUT,XRX,23.478260000000002,610,23,2014-04-10
2013-04-15,USD,PUT,MSFT,28.690001000000002,290,28,2013-07-14
2013-04-15,USD,PUT,FB,26.52,920,27,2013-07-14
2013-04-15,USD,CALL,FB,26.52,730,26,2013-07-14
2013-04-15,USD,CALL,BA,86.769997,540,82,2014-04-10
2013-04-16,USD,CALL,FB,26.92,530,26,2014-04-11
2013-04-16,USD,CALL,CHK,18.032167,680,17,2013-10-13
2013-04-16,USD,PUT,AAPL,60.89143000000001,620,63,2013-07-15
2013-04-16,USD,CALL,MSFT,28.969998999999998,390,29,2013-07-15
2013-04-17,USD,PUT,AMZN,267.399994,590,262,2014-04-12
2013-04-17,USD,PUT,CHK,17.473983999999998,570,16,2014-04-12
2013-04-17,USD,CALL,XRX,23.504611999999998,440,23,2014-04-12
2013-04-17,USD,CALL,MSFT,28.83,350,27,2013-07-16
2013-04-17,USD,PUT,AAPL,57.542857999999995,60,55,2013-10-14
2013-04-17,USD,CALL,AMZN,267.399994,600,256,2014-04-12
2013-04-18,USD,CALL,AMZN,259.420013,890,269,2014-04-13
2013-04-18,USD,PUT,MSFT,28.790001,10,29,2014-04-13
2013-04-19,USD,CALL,MSFT,29.77,160,30,2013-10-16
2013-04-19,USD,CALL,XRX,22.29249,70,22,2013-07-18
2013-04-19,USD,CALL,CHK,17.587511,320,18,2013-10-16
2013-04-19,USD,CALL,XRX,22.29249,880,23,2013-10-16
2013-04-19,USD,PUT,CHK,17.587511,650,17,2014-04-14
2013-04-19,USD,PUT,MSFT,29.77,250,30,2014-04-14
2013-04-22,USD,CALL,MSFT,30.83,760,29,2013-07-21
2013-04-22,USD,PUT,BA,86.940002,870,84,2013-07-21
2013-04-22,USD,PUT,BA,86.940002,920,89,2013-07-21
2013-04-22,USD,PUT,XRX,22.661396,430,22,2013-10-19
2013-04-23,USD,PUT,XRX,22.23979,420,23,2014-04-18
2013-04-23,USD,CALL,AMZN,268.899994,900,277,2013-10-20
2013-04-24,USD,CALL,XRX,22.055335999999997,730,22,2013-10-21
2013-04-24,USD,CALL,BA,90.83000200000001,860,88,2013-10-21
2013-04-24,USD,CALL,XRX,22.055335999999997,260,22,2013-07-23
2013-04-24,USD,CALL,XRX,22.055335999999997,360,21,2013-07-23
2013-04-25,USD,PUT,FB,26.139999,810,27,2014-04-20
2013-04-25,USD,PUT,BA,91.66999799999999,490,95,2013-07-24
2013-04-26,USD,CALL,CHK,18.211920000000003,480,17,2013-10-23
2013-04-26,USD,CALL,BA,92.849998,800,91,2014-04-21
2013-04-26,USD,CALL,CHK,18.211920000000003,200,18,2014-04-21
2013-04-26,USD,CALL,MSFT,31.790001,940,32,2013-10-23
2013-04-26,USD,PUT,XRX,22.081685999999998,690,21,2013-10-23
2013-04-26,USD,PUT,BA,92.849998,910,89,2013-07-25
2013-04-26,USD,CALL,FB,26.85,100,28,2014-04-21
2013-04-26,USD,CALL,MSFT,31.790001,220,32,2013-10-23
2013-04-29,USD,PUT,MSFT,32.610001000000004,480,31,2013-07-28
2013-04-29,USD,PUT,XRX,22.26614,720,21,2013-10-26
2013-04-29,USD,PUT,FB,26.98,470,26,2013-07-28
2013-04-29,USD,CALL,AAPL,61.445713,930,63,2014-04-24
2013-04-29,USD,CALL,BA,91.900002,70,95,2013-10-26
2013-04-29,USD,PUT,CHK,18.287607,540,18,2013-10-26
2013-04-29,USD,CALL,MSFT,32.610001000000004,490,32,2013-07-28
2013-04-30,USD,CALL,MSFT,33.099998,150,33,2014-04-25
2013-04-30,USD,CALL,XRX,22.608696,650,23,2014-04-25
2013-05-01,USD,PUT,FB,27.43,370,28,2014-04-26
2013-05-01,USD,PUT,XRX,21.949934,620,21,2014-04-26
2013-05-02,USD,PUT,CHK,18.117313,610,18,2014-04-27
2013-05-02,USD,PUT,MSFT,33.16,320,33,2013-07-31
2013-05-02,USD,CALL,MSFT,33.16,90,34,2014-04-27
2013-05-02,USD,PUT,AMZN,252.55000299999998,360,259,2013-10-29
2013-05-02,USD,CALL,BA,92.209999,540,90,2013-10-29
2013-05-02,USD,CALL,CHK,18.117313,760,18,2014-04-27
2013-05-03,USD,CALL,MSFT,33.490002000000004,730,34,2013-10-30
2013-05-03,USD,CALL,AMZN,258.049988,20,246,2014-04-28
2013-05-03,USD,PUT,BA,93.739998,400,92,2014-04-28
2013-05-06,USD,CALL,XRX,23.083004000000003,940,23,2014-05-01
2013-05-06,USD,PUT,AMZN,255.72000099999997,260,259,2013-08-04
2013-05-06,USD,CALL,FB,27.57,770,27,2014-05-01
2013-05-06,USD,PUT,AAPL,65.815712,940,68,2013-08-04
2013-05-07,USD,PUT,MSFT,33.310001,870,33,2014-05-02
2013-05-07,USD,PUT,XRX,23.109354,870,22,2014-05-02
2013-05-07,USD,PUT,MSFT,33.310001,760,32,2013-08-05
2013-05-08,USD,PUT,MSFT,32.990002000000004,690,34,2013-08-06
2013-05-08,USD,CALL,BA,94.040001,780,96,2013-08-06
2013-05-08,USD,PUT,CHK,18.155155,730,17,2014-05-03
2013-05-08,USD,PUT,FB,27.120001000000002,60,26,2014-05-03
2013-05-08,USD,CALL,AAPL,66.262856,540,66,2014-05-03
2013-05-10,USD,PUT,FB,26.68,320,26,2013-11-06
2013-05-10,USD,PUT,AMZN,263.630005,560,267,2013-08-08
2013-05-10,USD,CALL,FB,26.68,210,25,2013-08-08
2013-05-10,USD,CALL,MSFT,32.689999,680,31,2013-11-06
2013-05-10,USD,CALL,AAPL,64.709999,780,66,2013-08-08
2013-05-10,USD,CALL,BA,94.239998,930,93,2013-11-06
2013-05-10,USD,CALL,CHK,19.063387,200,19,2014-05-05
2013-05-10,USD,CALL,MSFT,32.689999,420,34,2013-08-08
2013-05-13,USD,CALL,AAPL,64.96285999999999,300,63,2013-11-09
2013-05-13,USD,PUT,FB,26.82,690,26,2014-05-08
2013-05-13,USD,CALL,AAPL,64.96285999999999,650,62,2014-05-08
2013-05-13,USD,CALL,XRX,23.42556,110,22,2014-05-08
2013-05-13,USD,CALL,AAPL,64.96285999999999,50,66,2014-05-08
2013-05-13,USD,CALL,FB,26.82,290,25,2013-08-11
2013-05-13,USD,CALL,CHK,19.451276999999997,380,18,2013-11-09
2013-05-14,USD,CALL,CHK,19.640491,520,19,2013-11-10
2013-05-16,USD,PUT,AMZN,264.119995,720,273,2013-11-12
2013-05-20,USD,PUT,MSFT,35.080002,140,33,2013-08-18
2013-05-20,USD,PUT,FB,25.76,310,25,2013-08-18
2013-05-20,USD,CALL,FB,25.76,660,26,2013-11-16
2013-05-21,USD,PUT,BA,98.75,950,95,2013-11-17
2013-05-21,USD,PUT,AAPL,62.80857099999999,10,64,2014-05-16
2013-05-21,USD,CALL,MSFT,34.849998,410,34,2013-08-19
2013-05-21,USD,PUT,BA,98.75,420,94,2013-08-19
2013-05-22,USD,PUT,MSFT,34.610001000000004,420,35,2014-05-17
2013-05-22,USD,CALL,AMZN,262.959991,760,273,2013-11-18
2013-05-22,USD,CALL,AMZN,262.959991,510,265,2013-11-18
2013-05-22,USD,CALL,FB,25.16,230,24,2013-08-20
2013-05-22,USD,PUT,XRX,23.214756,70,23,2014-05-17
2013-05-23,USD,PUT,BA,99.75,610,96,2014-05-18
2013-05-23,USD,CALL,AMZN,261.799988,720,252,2013-08-21
2013-05-24,USD,PUT,XRX,23.504611999999998,60,23,2013-11-20
2013-05-24,USD,PUT,BA,100.0,700,99,2014-05-19
2013-05-24,USD,CALL,XRX,23.504611999999998,760,22,2013-08-22
2013-05-24,USD,CALL,MSFT,34.27,390,33,2014-05-19
2013-05-24,USD,PUT,AMZN,261.73999,830,267,2013-08-22
2013-05-24,USD,CALL,CHK,20.501419,930,19,2013-08-22
2013-05-28,USD,CALL,CHK,20.964994,840,20,2013-11-24
2013-05-28,USD,PUT,XRX,23.741766000000002,980,23,2014-05-23
2013-05-28,USD,PUT,MSFT,35.02,110,34,2013-11-24
2013-05-28,USD,PUT,MSFT,35.02,680,35,2013-08-26
2013-05-28,USD,CALL,MSFT,35.02,540,35,2014-05-23
2013-05-28,USD,CALL,FB,24.1,810,23,2014-05-23
2013-05-28,USD,CALL,FB,24.1,870,24,2013-08-26
2013-05-29,USD,CALL,AAPL,63.564285,620,62,2013-11-25
2013-05-29,USD,PUT,MSFT,34.880001,620,35,2014-05-24
2013-05-29,USD,CALL,AAPL,63.564285,540,62,2013-11-25
2013-05-30,USD,CALL,FB,24.549999,770,23,2014-05-25
2013-05-30,USD,PUT,AAPL,64.511429,420,65,2013-08-28
